link,alerta2
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1586621,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1593481,4.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1590830,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1590304,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1593571,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1589027,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1591801,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1591819,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1593680,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1587478,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1591894,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1592637,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1590495,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1593819,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1588601,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1592623,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1594006,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1592288,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1586815,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1592339,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1591764,
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1591906,2.0
https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1586861,2.0
