"","orden_de_gobierno","siglas_de_la_institucion","institucion","clave_de_la_uc","nombre_de_la_uc","responsable_de_la_uc","codigo_del_expediente","titulo_del_expediente","plantilla_del_expediente","fundamento_legal","numero_del_procedimiento","fecha_de_fallo","fecha_de_publicacion","fecha_de_apertura","caracter_del_procedimiento","tipo_de_contratacion","tipo_de_procedimiento","forma_de_participacion","codigo_del_contrato","num_de_control_del_contrato","titulo_del_contrato","fecha_de_inicio_del_contrato","fecha_de_fin_del_contrato","importe_del_contrato","moneda_del_contrato","estatus_del_contrato","convenio_modificatorio","clave_del_programa_federal","fecha_de_firma_del_contrato","contrato_marco","compra_consolidada","contrato_plurianual","clave_de_cartera_shcp","folio_en_el_rupc","rfc","proveedor_o_contratista","estratificacion_de_la_empresa","clave_del_pais_de_la_empresa","rfc_verificado_en_el_sat","credito_externo","organismo_financiero","direccion_del_anuncio","d_fallo","d_publicacion","d_apertura","d_inicio_del_contrato","d_fin_del_contrato","d_firma_del_contrato","dd_pub_y_aper","dd_pub_y_fallo","dd_aper_y_fallo","p_exp","p_con","quinced"
"1","APF","HGM","Hospital General de México ""Dr. Eduardo Liceaga""","012NBD001","HGM-Subdirección de Recursos Materiales #012NBD001","Pablo Raúl Ocampo Velázquez","1292464","2DA. SESION EXT.07/03/2016","05. Adjudicación Directa LAASSP","Art. 41 fr. I","AA-012NBD001-E607-2016",NA,2017-03-06 12:36:00,2016-03-08 23:59:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1350436","DRMC-SRM-0038/ 2016 GALUMEDICAL, S.A. DE C.V.","DRMC-SRM-0038/ 2016 GALUMEDICAL, S.A. DE C.V.",2019-01-01,2019-02-28,"9760588","MXN","Activo","1",NA,NA,"No se utilizó el Contrato Marco","0","1",NA,"6994","GAL020318135","GALUMEDICAL SA DE CV","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1086080",NA,"lunes","martes","martes","jueves",NA,-363,NA,NA,2,5,1
"2","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1362938","SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TERRESTRES PARA EL INDAABIN","05. Adjudicación Directa LAASSP","Art. 41 fr. III","AA-006A00996-E51-2017",NA,2017-05-17 09:35:00,2017-04-11 23:00:00,"Nacional","Arrendamientos","Adjudicación Directa Federal","Presencial","1963008","DGAF/SRMYSG/23/AD/2018-3","SERVICIO DE ARRENDAMIENTO DE VEHÍCULOS TERRESTRES PARA EL INDAABIN",2019-01-01,2019-02-15,"263430","MXN","Activo","1",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"JET VAN CAR RENTAL, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1147666",NA,"miércoles","martes","martes","viernes",NA,-35,NA,NA,8,8,1
"3","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1589259","PÓLIZA DE SEGUROS CONSOLIDADA PARA EL SECTOR HACIENDA COBERTURA PARQUE VEHICULAR","05. Adjudicación Directa LAASSP","Art. 41 fr. III","AA-006A00996-E2-2018",NA,2018-01-10 17:13:00,2017-12-05 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Electrónica","1963252","DGAF/DA/02/LPN/2018-1","PÓLIZA DE SEGUROS CONSOLIDADA PARA EL SECTOR HACIENDA COBERTURA PARQUE VEHICULAR",2019-01-01,2019-02-15,"21371.68","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,"5911","ASE901221SM4","CHUBB SEGUROS MEXICO SA","No MIPYME","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1364595",NA,"miércoles","martes","martes","viernes","viernes",-37,NA,NA,10,10,1
"4","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1590368","SERVICIO ADMINISTRADO DE IMPRESIÓN, FOTOCOPIADO Y DIGITALIZACIÓN DE DOCUMENTOS","03. Invitación a Cuando Menos Tres Personas LAASSP","Art. 42 párrafo primero","IA-006A00996-E4-2018",2018-02-06,2018-01-26 09:36:00,2018-02-02 10:00:00,"Nacional","Servicios","Invitación a Cuando Menos 3 Personas","Mixta","1963323","DGAF/DI/03/IA3/2018-1","SERVICIO ADMINISTRADO DE IMPRESIÓN, FOTOCOPIADO Y DIGITALIZACIÓN DE DOCUMENTOS",2019-01-01,2019-02-28,"243689.65","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"MAQUINAS INFORMACION Y TECNOLOGIA AVANZADA S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1365630","martes","viernes","viernes","martes","jueves","viernes",7,11,4,8,8,1
"5","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1590672","APOYO EN SITIO PARA LA MEJORA Y AUTOMATIZACIÓN DE PROCESOS","01. Licitación Pública LAASSP",NA,"LA-006A00996-E5-2018",2018-02-21,2018-02-06 13:08:00,2018-02-19 10:00:00,"Nacional","Servicios","Licitación Pública","Mixta","1963589","DGAF/DI/07/LPN/2018-1","APOYO EN SITIO PARA LA MEJORA Y AUTOMATIZACIÓN DE PROCESOS",2019-01-01,2019-02-18,"1520400","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"ND NEGOCIOS DIGITALES, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1365967","miércoles","martes","lunes","martes","lunes","viernes",13,14,2,9,9,1
"6","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1592032","PÓLIZA EXTENDIDA Y SERVICIO ADMINISTRADO DE MANTENIMIENTO A VOZ Y DATOS","01. Licitación Pública LAASSP",NA,"LA-006A00996-E6-2018",2018-02-28,2018-02-08 09:44:00,2018-02-26 00:00:00,"Nacional","Adquisiciones","Licitación Pública","Mixta","1963375","DGAF/DI/09/LPN/2018-1","PÓLIZA EXTENDIDA Y SERVICIO ADMINISTRADO DE MANTENIMIENTO A VOZ Y DATOS",2019-01-01,2019-02-28,"372200","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"EVOLUCIONA COMUNICACIONES, EVOX, S.A DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1367581","miércoles","jueves","lunes","martes","jueves","viernes",18,20,2,10,10,0
"7","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1592415","SERVICIO ADMINISTRADO DE INTERNET Y TELEFONÍA","03. Invitación a Cuando Menos Tres Personas LAASSP","Art. 42 párrafo primero","IA-006A00996-E7-2018",2018-02-15,2018-01-26 14:54:00,2018-02-14 12:30:00,"Nacional","Servicios","Invitación a Cuando Menos 3 Personas","Mixta","1963576","DGAF/DI/06/IA3/2018-1","SERVICIO ADMINISTRADO DE INTERNET Y TELEFONÍA",2019-01-01,2019-02-28,"55002","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"AXTEL, S.A.B. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1367753","jueves","viernes","miércoles","martes","jueves","viernes",19,19,0,5,5,0
"8","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1604906","SERVICIO DE MENSAJERÍA CON MOTOCICLETA","03. Invitación a Cuando Menos Tres Personas LAASSP","Art. 42 párrafo primero","IA-006A00996-E10-2018",2018-03-06,2018-02-26 09:47:00,2018-03-06 16:00:00,"Nacional","Servicios","Invitación a Cuando Menos 3 Personas","Mixta","1964443","DGAF/CDI/15/IA3/2018","SERVICIO DE MENSAJERÍA CON MOTOCICLETA",2019-01-01,2019-02-28,"94000","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"B2B MENSAJERIA, B2B MAIL & COURIER SERVICES S DE RL DE CV",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1380349","martes","lunes","martes","martes","jueves","viernes",8,8,-1,4,4,1
"9","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1610986","POLIZA EXTENDIDA DE SOPORTE A LA INFRAESTRUCTURA HP","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006A00996-E11-2018",NA,2018-02-09 10:45:00,2018-01-22 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1966421","P-DGAF-DI-04-AD-2018-1","POLIZA EXTENDIDA DE SOPORTE A LA INFRAESTRUCTURA HP",2019-01-01,2019-02-28,"65348.29","MXN","Activo","0","08S262-P APOYOS COMERCIALIZACION",2018-11-16,"No se utilizó el Contrato Marco","0","0",NA,"7167","GTC980421R4A","GRUPO DE TECNOLOGIA CIBERNETICA SA DE CV","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1386531",NA,"viernes","lunes","martes","jueves","viernes",-18,NA,NA,7,7,1
"10","APF","SCT","Secretaría de Comunicaciones y Transportes","009000049","SCT-Centro SCT Baja California #009000049","Ernesto Aguilar Gandara","1620377","Servicio de Seguridad y Vigilancia","01. Licitación Pública LAASSP",NA,"LA-009000049-E4-2018",2018-03-14,2018-02-21 17:46:00,2018-03-09 12:00:00,"Nacional","Servicios","Licitación Pública","Electrónica","1968508","CSCT-622-DRM-05-18/1","Convenio de Ampliación en Tiempo y Monto al Servicio de Seguridad y Vigilancia",2019-01-01,2019-02-28,"417196.76","MXN","Activo","0",NA,2018-11-26,"No se utilizó el Contrato Marco","0","0",NA,"345467","VPC080825SR6","VALET PERSONALIZADO EN CUSTODIA EMPRESARIAL V.A.P.E. SA DE CV","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1395065","miércoles","miércoles","viernes","martes","jueves","lunes",16,20,4,4,12,0
