SIGLAS,Riesgo_tipo_contratacion,serv_sanc,prov_sanc,noticias,pca,alerta2
CFE,36.505722148503956,131.0,176.0,17.0,8.768327089762632,2
IMSS,40.05827798485378,0.0,278.0,40.0,7.644893696284551,2
PF,44.940190159696385,225.0,0.0,7.0,6.4152974945053,2
SFP,43.16217394862967,6.0,193.0,55.0,5.38747060709491,2
SE,32.76845160187358,0.0,11.0,1700.0,4.451773106895723,2
SEP,31.70697917653422,121.0,8.0,39.0,3.895911896763331,2
INM,40.586976712960286,120.0,3.0,7.0,3.423682315554594,2
FONHAPO,33.79772074496361,83.0,0.0,0.0,2.3678412247692644,2
AFSEDF,42.0853376283027,83.0,0.0,0.0,2.1621014291695384,2
PGR,39.09747047645821,39.0,9.0,318.0,1.9537809381693025,2
SEMARNAT,43.85306605164593,49.0,14.0,5.0,1.4949150021825932,2
CONAGUA,35.02011246017637,24.0,22.0,21.0,1.222025241841177,2
SEDESOL,36.75041236801774,16.0,27.0,67.0,1.1930303624173073,2
SAT,36.643122139166,29.0,14.0,50.0,1.1802479809974362,2
SCT,38.6619452795014,15.0,31.0,46.0,1.175503662964742,2
ASA,41.79586350425912,0.0,53.0,3.0,1.1560804759182155,2
ISSSTE,44.30116809085844,0.0,48.0,14.0,0.9803088225507763,2
INAPAM,41.718655584841706,43.0,0.0,0.0,0.958104016818951,2
SEDENA,49.14759952972638,4.0,45.0,12.0,0.8915840495751455,2
CAPUFE,32.65082101653348,20.0,13.0,2.0,0.8577513037277593,2
PRS,55.66870230603492,51.0,0.0,1.0,0.8569234687547803,2
SAGARPA,41.638091428405005,38.0,0.0,11.0,0.8360634104133144,2
IMP,30.821729661179617,3.0,20.0,12.0,0.6103232022811235,2
SEGOB,40.25572531515389,9.0,8.0,159.0,0.5880661685086922,2
INFONACOT,43.35291913937339,29.0,0.0,1.0,0.4954571950683516,2
INEGI,18.519314702687648,4.0,0.0,35.0,0.4390624606679602,2
SHCP,28.21560223163171,7.0,0.0,42.0,0.30689666770190316,2
CISEN,36.59519925862231,0.0,18.0,4.0,0.2994742181431248,2
CONALEP,29.491318155869912,0.0,11.0,1.0,0.2706571054485803,2
SGM,31.892082636723718,0.0,13.0,0.0,0.26501919360551307,2
SEDATU,37.740345767641394,13.0,0.0,47.0,0.26495434638470355,2
PRONOSTICOS,39.011959040009785,7.0,11.0,6.0,0.2591441393460526,2
CDI,42.63088467688268,20.0,0.0,2.0,0.24294292327199238,2
CULTURA,37.686902508697976,0.0,0.0,194.0,0.24081877121417572,2
CONAFOR,45.91680381592571,18.0,3.0,2.0,0.18541977225362263,2
CONOCER,55.75159526583918,0.0,0.0,342.0,0.1636675139949112,2
CIDETEQ,21.609320356129217,0.0,0.0,0.0,0.15323474946892968,2
SACM,22.391807819219235,0.0,0.0,1.0,0.13631833740268573,2
PJ,45.73690578597924,0.0,0.0,213.0,0.08864514329770867,2
INMUJERES,24.637107989704134,0.0,0.0,0.0,0.07807002870301327,2
DIF,31.422161270682082,0.0,4.0,22.0,0.0777647598265874,2
TGM,39.81281805810607,3.0,10.0,0.0,0.07466504910369882,2
IMTA,27.160291324145085,1.0,1.0,0.0,0.07399449524608831,2
SRE,40.31412491061745,7.0,5.0,8.0,0.06242616214410211,2
INPER,25.373767261486062,0.0,0.0,1.0,0.062291299862858945,2
INCAN,44.14599916606536,7.0,9.0,0.0,0.06016911325194609,2
CEAV,25.863968958732865,0.0,0.0,3.0,0.05513968307253368,2
PR,34.957732646260894,1.0,7.0,0.0,0.04983266915871895,2
COMIMSA,26.3948910824163,0.0,0.0,0.0,0.034433125683246205,2
FND,29.07158109828402,2.0,0.0,1.0,0.031148216387407217,2
CRE,27.73403348736723,0.0,1.0,0.0,0.029423859337473664,2
STPS,41.26383127085682,8.0,4.0,2.0,0.025889477041446188,2
INEE,27.058454760386823,0.0,0.0,2.0,0.022977803861554916,2
FIRA,27.740725449100506,0.0,0.0,1.0,0.0035316466877853016,2
SSA,36.26642077666592,2.0,5.0,2.0,-0.003780130173767547,2
CIGGET,28.280573944743526,0.0,0.0,0.0,-0.012378884587286088,2
CIATEJ,28.80870719599452,0.0,0.0,1.0,-0.022980962353293263,2
IPN,45.099656295057756,11.0,2.0,5.0,-0.02729558062828936,2
INAES,34.85185362371897,0.0,5.0,0.0,-0.03433618773930025,2
SEPOMEX,35.13362899314923,0.0,5.0,1.0,-0.038822439814562106,2
APRENDEMX,29.620368930463748,0.0,0.0,0.0,-0.04563924765519804,2
CENAM,43.781431282268166,4.0,8.0,0.0,-0.04999791945456885,2
RAN,49.29969131472301,10.0,6.0,0.0,-0.06149328000706664,2
CONSAR,30.47069658240461,0.0,0.0,0.0,-0.06674860149789405,2
TECNM,30.725123867658233,0.0,0.0,1.0,-0.07055593835207997,2
CNSNS,33.12025790854183,0.0,2.0,0.0,-0.07605407472230453,3
API-Puerto Vallarta,30.999355130946714,0.0,0.0,0.0,-0.07987253124152834,3
SENASICA,34.95458568992389,0.0,0.0,38.0,-0.08272615312531971,3
COLEF,31.35685665323682,0.0,0.0,0.0,-0.08874749387046232,3
TELECOMM,45.207094370882665,0.0,12.0,0.0,-0.09376039753419682,3
MORA,49.19503015573873,0.0,0.0,172.0,-0.10006394283259597,3
CONAPESCA,37.967929162572446,3.0,2.0,1.0,-0.10290600933684425,3
CIJ,32.05551457949014,0.0,0.0,1.0,-0.10358284065379321,3
CIATEQ,32.026803618992126,0.0,0.0,0.0,-0.10537890356728921,3
AICM,33.455024085170685,0.0,0.0,14.0,-0.10571106518202071,3
NOTIMEX,36.84531236274709,1.0,0.0,35.0,-0.10686230325840357,3
CIDESI,32.131179885886674,0.0,0.0,0.0,-0.1079700406961685,3
INEEL,32.58403384772151,0.0,0.0,2.0,-0.1141945012776662,3
CICY,32.5067070062794,0.0,0.0,1.0,-0.11478367666859281,3
SAE,40.87831991244489,4.0,3.0,0.0,-0.11910276465880085,3
CRAE,41.07498405262051,5.0,2.0,1.0,-0.11938352288261274,3
CENACE,35.10040550763846,1.0,1.0,0.0,-0.12311855813774793,3
API-Lázaro Cárdenas,32.79400583615874,0.0,0.0,0.0,-0.12442467143583469,3
INSUS,39.042490209492634,5.0,0.0,0.0,-0.12790553955971587,3
FIDENA,33.00869306315023,0.0,0.0,0.0,-0.12975427424214894,3
COFEMER,33.05163814949712,0.0,0.0,0.0,-0.13082038448969,3
SENEAM,40.14160628554168,0.0,6.0,1.0,-0.13491040229900506,3
API-Ensenada,33.295266411115854,0.0,0.0,0.0,-0.13686844745559754,3
CONADIC,33.35328227301856,0.0,0.0,0.0,-0.1383086891725379,3
FIT,33.496355021308645,0.0,0.0,1.0,-0.139351653590537,3
INEA,35.80668968045766,0.0,2.0,1.0,-0.14023583682162805,3
INPI,39.29212204242725,2.0,3.0,0.0,-0.1403804727698759,3
INNN,33.44378273704242,0.0,0.0,0.0,-0.14055535998660287,3
CENAPRECE,33.56197487497056,0.0,0.0,1.0,-0.140980664133583,3
COFEPRIS,52.20861687359205,14.0,1.0,3.0,-0.14604527353433186,3
PROFECO,37.5364294891526,0.0,3.0,3.0,-0.1499240468992841,3
CONANP,34.02469442169802,0.0,0.0,2.0,-0.14995884900160314,3
CIMAV,33.90915687167068,0.0,0.0,0.0,-0.15210825639622086,3
IPICYT,34.080264300781444,0.0,0.0,1.0,-0.15384718077266638,3
CONAFE,41.06315788048822,1.0,5.0,1.0,-0.15569527740456543,3
SPF,46.32460331100779,10.0,0.0,0.0,-0.15704620425183996,3
CNBV,47.286693503551994,3.0,7.0,15.0,-0.15794616103952172,3
CENSIDA,34.16921368974883,0.0,0.0,0.0,-0.15856415769437013,3
